Survey Date,Survey Year,Borough,Carriageway,Covered,Secure,Locker,Sheffield Stand,"""M"" stand","""P"" stand",Cyclehoop,Post,Butterfly,Wheel Rack,Bike Hangar,Two Tier,Other,Capacity
16/07/2017,2017,Lambeth,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
16/07/2017,2017,Kensington&Chelsea,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
17/07/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
18/07/2017,2017,Lambeth,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
18/07/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14
18/07/2017,2017,Wandsworth,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
18/07/2017,2017,Lambeth,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
19/07/2017,2017,Lambeth,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
19/07/2017,2017,Lambeth,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
19/07/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
19/07/2017,2017,Westminster,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
19/07/2017,2017,Lambeth,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
20/07/2017,2017,Kensington&Chelsea,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
20/07/2017,2017,Kensington&Chelsea,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
20/07/2017,2017,Kensington&Chelsea,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
20/07/2017,2017,Lambeth,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8
20/07/2017,2017,Kensington&Chelsea,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
22/07/2017,2017,Lambeth,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
25/06/2017,2017,CityofLondon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14
25/06/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
27/06/2017,2017,Camden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
27/06/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
27/06/2017,2017,CityofLondon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
27/06/2017,2017,Camden,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
27/06/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
28/06/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
28/06/2017,2017,Westminster,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
28/06/2017,2017,Camden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
30/06/2017,2017,Westminster,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
29/06/2017,2017,Islington,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
29/06/2017,2017,Islington,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
29/06/2017,2017,Camden,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
29/06/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14
29/06/2017,2017,Camden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
30/06/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
30/06/2017,2017,CityofLondon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
30/06/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
30/06/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52
01/07/2017,2017,Camden,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
24/07/2017,2017,Westminster,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
24/07/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
04/09/2017,2017,Camden,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
04/09/2017,2017,Camden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
04/09/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
04/09/2017,2017,CityofLondon,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8
06/09/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14
06/09/2017,2017,Westminster,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
06/09/2017,2017,Camden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
27/09/2017,2017,TowerHamlets,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18
06/02/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
06/02/2017,2017,Hackney,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
06/03/2017,2017,TowerHamlets,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
06/03/2017,2017,TowerHamlets,0,0,0,0,1,0,0,0,0,0,0,0,0,0,80
06/03/2017,2017,TowerHamlets,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
06/03/2017,2017,TowerHamlets,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
06/04/2017,2017,TowerHamlets,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
06/06/2017,2017,TowerHamlets,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
06/06/2017,2017,TowerHamlets,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
06/06/2017,2017,TowerHamlets,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
06/07/2017,2017,TowerHamlets,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
06/07/2017,2017,TowerHamlets,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
06/07/2017,2017,TowerHamlets,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
06/07/2017,2017,TowerHamlets,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4
